"id","item","tar","dir","rt","c1","c2","c3"
"1","458","dos","hor",529.2,0.25,0.5,0.25
"1","468","dos","hor",414.8,0.25,0.5,0.25
"1","509","dos","hor",411.7,0.25,0.5,0.25
"1","513","dos","hor",373.1,0.25,0.5,0.25
"1","571","dos","hor",378.8,0.25,0.5,0.25
"1","576","dos","hor",340.5,0.25,0.5,0.25
"1","584","dos","hor",294.9,0.25,0.5,0.25
"1","17","dos","ver",548.4,0.25,0.5,0.25
"1","71","dos","ver",472,0.25,0.5,0.25
"1","77","dos","ver",473.6,0.25,0.5,0.25
"1","92","dos","ver",514,0.25,0.5,0.25
"1","117","dos","ver",441.6,0.25,0.5,0.25
"1","191","dos","ver",481.3,0.25,0.5,0.25
"1","201","dos","ver",355.2,0.25,0.5,0.25
"1","246","dos","ver",469.1,0.25,0.5,0.25
"1","286","dos","ver",390.9,0.25,0.5,0.25
"1","296","dos","ver",426.7,0.25,0.5,0.25
"1","317","dos","ver",391.7,0.25,0.5,0.25
"1","330","dos","ver",427,0.25,0.5,0.25
"1","351","dos","ver",368.9,0.25,0.5,0.25
"1","364","dos","ver",359.3,0.25,0.5,0.25
"1","393","dos","ver",503.7,0.25,0.5,0.25
"1","421","dos","ver",475.9,0.25,0.5,0.25
"1","434","dos","ver",568.7,0.25,0.5,0.25
"1","435","dos","ver",403.6,0.25,0.5,0.25
"1","488","dos","ver",412.5,0.25,0.5,0.25
"1","502","dos","ver",442.2,0.25,0.5,0.25
"1","520","dos","ver",597.3,0.25,0.5,0.25
"1","552","dos","ver",384.9,0.25,0.5,0.25
"1","603","dos","ver",339.7,0.25,0.5,0.25
"1","56","sod","hor",543.8,0.25,-0.5,0.25
"1","105","sod","hor",477,0.25,-0.5,0.25
"1","115","sod","hor",466.4,0.25,-0.5,0.25
"1","125","sod","hor",490,0.25,-0.5,0.25
"1","127","sod","hor",507.1,0.25,-0.5,0.25
"1","139","sod","hor",487.6,0.25,-0.5,0.25
"1","168","sod","hor",500,0.25,-0.5,0.25
"1","185","sod","hor",460,0.25,-0.5,0.25
"1","203","sod","hor",430.4,0.25,-0.5,0.25
"1","227","sod","hor",467.9,0.25,-0.5,0.25
"1","285","sod","hor",368.4,0.25,-0.5,0.25
"1","315","sod","hor",390.1,0.25,-0.5,0.25
"1","326","sod","hor",428.2,0.25,-0.5,0.25
"1","332","sod","hor",423.3,0.25,-0.5,0.25
"1","352","sod","hor",374.9,0.25,-0.5,0.25
"1","359","sod","hor",366.7,0.25,-0.5,0.25
"1","422","sod","hor",397.2,0.25,-0.5,0.25
"1","424","sod","hor",393.1,0.25,-0.5,0.25
"1","437","sod","hor",550.2,0.25,-0.5,0.25
"1","510","sod","hor",551.7,0.25,-0.5,0.25
"1","522","sod","hor",366.1,0.25,-0.5,0.25
"1","544","sod","hor",360.1,0.25,-0.5,0.25
"1","555","sod","hor",366.3,0.25,-0.5,0.25
"1","579","sod","hor",400,0.25,-0.5,0.25
"1","5","sod","ver",575.3,0.25,-0.5,0.25
"1","65","sod","ver",520.2,0.25,-0.5,0.25
"1","75","sod","ver",416.7,0.25,-0.5,0.25
"1","111","sod","ver",518.1,0.25,-0.5,0.25
"1","112","sod","ver",492.7,0.25,-0.5,0.25
"1","113","sod","ver",611.1,0.25,-0.5,0.25
"1","128","sod","ver",481,0.25,-0.5,0.25
"1","160","sod","ver",577,0.25,-0.5,0.25
"1","278","sod","ver",415.2,0.25,-0.5,0.25
"1","312","sod","ver",360.2,0.25,-0.5,0.25
"1","318","sod","ver",361.8,0.25,-0.5,0.25
"1","337","sod","ver",384,0.25,-0.5,0.25
"1","338","sod","ver",433.3,0.25,-0.5,0.25
"1","372","sod","ver",366.4,0.25,-0.5,0.25
"1","376","sod","ver",366,0.25,-0.5,0.25
"1","399","sod","ver",376.5,0.25,-0.5,0.25
"1","405","sod","ver",416.1,0.25,-0.5,0.25
"1","414","sod","ver",383,0.25,-0.5,0.25
"1","436","sod","ver",566.3,0.25,-0.5,0.25
"1","449","sod","ver",364.9,0.25,-0.5,0.25
"1","457","sod","ver",381.8,0.25,-0.5,0.25
"1","493","sod","ver",370.2,0.25,-0.5,0.25
"1","495","sod","ver",325.2,0.25,-0.5,0.25
"1","539","sod","ver",381.1,0.25,-0.5,0.25
"1","6","val","hor",494.8,-0.75,-0.5,0.25
"1","13","val","hor",458.6,-0.75,-0.5,0.25
"1","16","val","hor",445.2,-0.75,-0.5,0.25
"1","20","val","hor",638.5,-0.75,-0.5,0.25
"1","22","val","hor",387,-0.75,-0.5,0.25
"1","29","val","hor",451.5,-0.75,-0.5,0.25
"1","30","val","hor",431,-0.75,-0.5,0.25
"1","34","val","hor",454.7,-0.75,-0.5,0.25
"1","38","val","hor",349.7,-0.75,-0.5,0.25
"1","45","val","hor",393.8,-0.75,-0.5,0.25
"1","46","val","hor",445.5,-0.75,-0.5,0.25
"1","47","val","hor",520.1,-0.75,-0.5,0.25
"1","53","val","hor",437.3,-0.75,-0.5,0.25
"1","54","val","hor",470.8,-0.75,-0.5,0.25
"1","55","val","hor",417,-0.75,-0.5,0.25
"1","59","val","hor",520.7,-0.75,-0.5,0.25
"1","60","val","hor",489.6,-0.75,-0.5,0.25
"1","62","val","hor",376.9,-0.75,-0.5,0.25
"1","63","val","hor",441.4,-0.75,-0.5,0.25
"1","64","val","hor",467.2,-0.75,-0.5,0.25
"1","66","val","hor",459.6,-0.75,-0.5,0.25
"1","67","val","hor",419.6,-0.75,-0.5,0.25
"1","68","val","hor",553.2,-0.75,-0.5,0.25
"1","81","val","hor",450,-0.75,-0.5,0.25
"1","90","val","hor",431.8,-0.75,-0.5,0.25
"1","91","val","hor",500.5,-0.75,-0.5,0.25
"1","93","val","hor",438.2,-0.75,-0.5,0.25
"1","97","val","hor",441.5,-0.75,-0.5,0.25
"1","98","val","hor",467.2,-0.75,-0.5,0.25
"1","99","val","hor",423.1,-0.75,-0.5,0.25
"1","101","val","hor",463.6,-0.75,-0.5,0.25
"1","108","val","hor",435.6,-0.75,-0.5,0.25
"1","114","val","hor",417,-0.75,-0.5,0.25
"1","118","val","hor",473.1,-0.75,-0.5,0.25
"1","122","val","hor",465.5,-0.75,-0.5,0.25
"1","124","val","hor",390.6,-0.75,-0.5,0.25
"1","126","val","hor",456.4,-0.75,-0.5,0.25
"1","129","val","hor",479.3,-0.75,-0.5,0.25
"1","132","val","hor",496.1,-0.75,-0.5,0.25
"1","133","val","hor",435.4,-0.75,-0.5,0.25
"1","135","val","hor",438.5,-0.75,-0.5,0.25
"1","137","val","hor",459.7,-0.75,-0.5,0.25
"1","141","val","hor",480.9,-0.75,-0.5,0.25
"1","142","val","hor",448.3,-0.75,-0.5,0.25
"1","143","val","hor",463.4,-0.75,-0.5,0.25
"1","145","val","hor",424.3,-0.75,-0.5,0.25
"1","152","val","hor",402.6,-0.75,-0.5,0.25
"1","166","val","hor",474.8,-0.75,-0.5,0.25
"1","178","val","hor",487.6,-0.75,-0.5,0.25
"1","183","val","hor",510.4,-0.75,-0.5,0.25
"1","189","val","hor",436.4,-0.75,-0.5,0.25
"1","192","val","hor",451.1,-0.75,-0.5,0.25
"1","196","val","hor",453.8,-0.75,-0.5,0.25
"1","197","val","hor",421.6,-0.75,-0.5,0.25
"1","198","val","hor",445.7,-0.75,-0.5,0.25
"1","204","val","hor",403.5,-0.75,-0.5,0.25
"1","206","val","hor",482.1,-0.75,-0.5,0.25
"1","219","val","hor",534.7,-0.75,-0.5,0.25
"1","224","val","hor",402.5,-0.75,-0.5,0.25
"1","230","val","hor",406.4,-0.75,-0.5,0.25
"1","232","val","hor",469,-0.75,-0.5,0.25
"1","239","val","hor",363.2,-0.75,-0.5,0.25
"1","250","val","hor",369.9,-0.75,-0.5,0.25
"1","254","val","hor",405.9,-0.75,-0.5,0.25
"1","263","val","hor",435.9,-0.75,-0.5,0.25
"1","266","val","hor",388.2,-0.75,-0.5,0.25
"1","271","val","hor",427.1,-0.75,-0.5,0.25
"1","272","val","hor",424,-0.75,-0.5,0.25
"1","276","val","hor",389.9,-0.75,-0.5,0.25
"1","279","val","hor",376.5,-0.75,-0.5,0.25
"1","282","val","hor",380.7,-0.75,-0.5,0.25
"1","284","val","hor",400.1,-0.75,-0.5,0.25
"1","290","val","hor",413.4,-0.75,-0.5,0.25
"1","292","val","hor",357.7,-0.75,-0.5,0.25
"1","301","val","hor",403.1,-0.75,-0.5,0.25
"1","302","val","hor",459.2,-0.75,-0.5,0.25
"1","303","val","hor",395.5,-0.75,-0.5,0.25
"1","305","val","hor",445.9,-0.75,-0.5,0.25
"1","306","val","hor",348,-0.75,-0.5,0.25
"1","310","val","hor",438.9,-0.75,-0.5,0.25
"1","313","val","hor",433.2,-0.75,-0.5,0.25
"1","314","val","hor",414.5,-0.75,-0.5,0.25
"1","321","val","hor",405.8,-0.75,-0.5,0.25
"1","322","val","hor",418.6,-0.75,-0.5,0.25
"1","328","val","hor",409.9,-0.75,-0.5,0.25
"1","334","val","hor",414.8,-0.75,-0.5,0.25
"1","339","val","hor",453.7,-0.75,-0.5,0.25
"1","341","val","hor",446.4,-0.75,-0.5,0.25
"1","343","val","hor",365.7,-0.75,-0.5,0.25
"1","348","val","hor",369.5,-0.75,-0.5,0.25
"1","356","val","hor",369.4,-0.75,-0.5,0.25
"1","362","val","hor",366.6,-0.75,-0.5,0.25
"1","363","val","hor",337,-0.75,-0.5,0.25
"1","366","val","hor",349.7,-0.75,-0.5,0.25
"1","367","val","hor",411.1,-0.75,-0.5,0.25
"1","369","val","hor",324.7,-0.75,-0.5,0.25
"1","371","val","hor",376.5,-0.75,-0.5,0.25
"1","373","val","hor",373.3,-0.75,-0.5,0.25
"1","374","val","hor",372.7,-0.75,-0.5,0.25
"1","379","val","hor",477.7,-0.75,-0.5,0.25
"1","382","val","hor",394.1,-0.75,-0.5,0.25
"1","383","val","hor",419.9,-0.75,-0.5,0.25
"1","385","val","hor",482.6,-0.75,-0.5,0.25
"1","388","val","hor",429.1,-0.75,-0.5,0.25
"1","390","val","hor",458.5,-0.75,-0.5,0.25
"1","391","val","hor",428.2,-0.75,-0.5,0.25
"1","395","val","hor",509.8,-0.75,-0.5,0.25
"1","396","val","hor",385.8,-0.75,-0.5,0.25
"1","398","val","hor",378.8,-0.75,-0.5,0.25
"1","406","val","hor",443.6,-0.75,-0.5,0.25
"1","409","val","hor",420.3,-0.75,-0.5,0.25
"1","410","val","hor",423.8,-0.75,-0.5,0.25
"1","411","val","hor",396.6,-0.75,-0.5,0.25
"1","413","val","hor",447,-0.75,-0.5,0.25
"1","423","val","hor",377.6,-0.75,-0.5,0.25
"1","428","val","hor",360.2,-0.75,-0.5,0.25
"1","431","val","hor",417.5,-0.75,-0.5,0.25
"1","432","val","hor",360.9,-0.75,-0.5,0.25
"1","438","val","hor",357.6,-0.75,-0.5,0.25
"1","440","val","hor",360,-0.75,-0.5,0.25
"1","444","val","hor",282.2,-0.75,-0.5,0.25
"1","447","val","hor",317.2,-0.75,-0.5,0.25
"1","450","val","hor",382,-0.75,-0.5,0.25
"1","451","val","hor",364.2,-0.75,-0.5,0.25
"1","453","val","hor",367.7,-0.75,-0.5,0.25
"1","461","val","hor",373.2,-0.75,-0.5,0.25
"1","462","val","hor",374.7,-0.75,-0.5,0.25
"1","464","val","hor",373.6,-0.75,-0.5,0.25
"1","466","val","hor",411.1,-0.75,-0.5,0.25
"1","473","val","hor",417.7,-0.75,-0.5,0.25
"1","476","val","hor",350.8,-0.75,-0.5,0.25
"1","477","val","hor",347.3,-0.75,-0.5,0.25
"1","478","val","hor",374.8,-0.75,-0.5,0.25
"1","483","val","hor",411,-0.75,-0.5,0.25
"1","485","val","hor",341.2,-0.75,-0.5,0.25
"1","487","val","hor",440.3,-0.75,-0.5,0.25
"1","489","val","hor",464.9,-0.75,-0.5,0.25
"1","491","val","hor",379.3,-0.75,-0.5,0.25
"1","492","val","hor",324.1,-0.75,-0.5,0.25
"1","496","val","hor",540.2,-0.75,-0.5,0.25
"1","506","val","hor",388.9,-0.75,-0.5,0.25
"1","507","val","hor",394.9,-0.75,-0.5,0.25
"1","517","val","hor",369.2,-0.75,-0.5,0.25
"1","519","val","hor",336.9,-0.75,-0.5,0.25
"1","524","val","hor",330.6,-0.75,-0.5,0.25
"1","525","val","hor",339.7,-0.75,-0.5,0.25
"1","530","val","hor",341.5,-0.75,-0.5,0.25
"1","531","val","hor",327.7,-0.75,-0.5,0.25
"1","535","val","hor",328.8,-0.75,-0.5,0.25
"1","547","val","hor",370.1,-0.75,-0.5,0.25
"1","551","val","hor",414.7,-0.75,-0.5,0.25
"1","553","val","hor",364,-0.75,-0.5,0.25
"1","556","val","hor",373,-0.75,-0.5,0.25
"1","560","val","hor",309.4,-0.75,-0.5,0.25
"1","562","val","hor",298.6,-0.75,-0.5,0.25
"1","574","val","hor",516.3,-0.75,-0.5,0.25
"1","575","val","hor",436.6,-0.75,-0.5,0.25
"1","582","val","hor",349.1,-0.75,-0.5,0.25
"1","585","val","hor",365.1,-0.75,-0.5,0.25
"1","588","val","hor",375.5,-0.75,-0.5,0.25
"1","589","val","hor",309.4,-0.75,-0.5,0.25
"1","594","val","hor",358.6,-0.75,-0.5,0.25
"1","595","val","hor",320.2,-0.75,-0.5,0.25
"1","597","val","hor",314,-0.75,-0.5,0.25
"1","599","val","hor",351.3,-0.75,-0.5,0.25
"1","2","val","ver",539.2,-0.75,-0.5,0.25
"1","3","val","ver",487.3,-0.75,-0.5,0.25
"1","7","val","ver",541.6,-0.75,-0.5,0.25
"1","9","val","ver",507.3,-0.75,-0.5,0.25
"1","11","val","ver",508.5,-0.75,-0.5,0.25
"1","14","val","ver",577,-0.75,-0.5,0.25
"1","15","val","ver",438.2,-0.75,-0.5,0.25
"1","19","val","ver",442.1,-0.75,-0.5,0.25
"1","24","val","ver",547.1,-0.75,-0.5,0.25
"1","25","val","ver",474.7,-0.75,-0.5,0.25
"1","27","val","ver",400.2,-0.75,-0.5,0.25
"1","31","val","ver",439.6,-0.75,-0.5,0.25
"1","32","val","ver",539.5,-0.75,-0.5,0.25
"1","33","val","ver",440,-0.75,-0.5,0.25
"1","36","val","ver",396.1,-0.75,-0.5,0.25
"1","42","val","ver",414,-0.75,-0.5,0.25
"1","48","val","ver",478.9,-0.75,-0.5,0.25
"1","49","val","ver",430.8,-0.75,-0.5,0.25
"1","51","val","ver",405.4,-0.75,-0.5,0.25
"1","57","val","ver",424.8,-0.75,-0.5,0.25
"1","58","val","ver",428.9,-0.75,-0.5,0.25
"1","74","val","ver",451.5,-0.75,-0.5,0.25
"1","76","val","ver",551.4,-0.75,-0.5,0.25
"1","78","val","ver",392,-0.75,-0.5,0.25
"1","80","val","ver",569.3,-0.75,-0.5,0.25
"1","83","val","ver",542.1,-0.75,-0.5,0.25
"1","84","val","ver",520.8,-0.75,-0.5,0.25
"1","85","val","ver",428.7,-0.75,-0.5,0.25
"1","86","val","ver",384.1,-0.75,-0.5,0.25
"1","87","val","ver",574.9,-0.75,-0.5,0.25
"1","96","val","ver",396.6,-0.75,-0.5,0.25
"1","100","val","ver",426,-0.75,-0.5,0.25
"1","106","val","ver",514.1,-0.75,-0.5,0.25
"1","110","val","ver",510.9,-0.75,-0.5,0.25
"1","121","val","ver",477.5,-0.75,-0.5,0.25
"1","130","val","ver",459.9,-0.75,-0.5,0.25
"1","138","val","ver",399.8,-0.75,-0.5,0.25
"1","140","val","ver",489.8,-0.75,-0.5,0.25
"1","147","val","ver",428.5,-0.75,-0.5,0.25
"1","150","val","ver",421.8,-0.75,-0.5,0.25
"1","153","val","ver",456.1,-0.75,-0.5,0.25
"1","155","val","ver",401,-0.75,-0.5,0.25
"1","158","val","ver",493.8,-0.75,-0.5,0.25
"1","162","val","ver",460.6,-0.75,-0.5,0.25
"1","173","val","ver",454.4,-0.75,-0.5,0.25
"1","176","val","ver",471.2,-0.75,-0.5,0.25
"1","179","val","ver",617.1,-0.75,-0.5,0.25
"1","180","val","ver",410.1,-0.75,-0.5,0.25
"1","181","val","ver",440.3,-0.75,-0.5,0.25
"1","182","val","ver",489.5,-0.75,-0.5,0.25
"1","188","val","ver",447.6,-0.75,-0.5,0.25
"1","190","val","ver",441.9,-0.75,-0.5,0.25
"1","195","val","ver",415.1,-0.75,-0.5,0.25
"1","205","val","ver",421.6,-0.75,-0.5,0.25
"1","207","val","ver",404.4,-0.75,-0.5,0.25
"1","211","val","ver",360.3,-0.75,-0.5,0.25
"1","212","val","ver",461,-0.75,-0.5,0.25
"1","213","val","ver",438.1,-0.75,-0.5,0.25
"1","218","val","ver",416.3,-0.75,-0.5,0.25
"1","222","val","ver",420,-0.75,-0.5,0.25
"1","223","val","ver",497.3,-0.75,-0.5,0.25
"1","226","val","ver",418.2,-0.75,-0.5,0.25
"1","231","val","ver",438.3,-0.75,-0.5,0.25
"1","235","val","ver",471.9,-0.75,-0.5,0.25
"1","236","val","ver",466,-0.75,-0.5,0.25
"1","240","val","ver",453.9,-0.75,-0.5,0.25
"1","241","val","ver",400.8,-0.75,-0.5,0.25
"1","242","val","ver",462.3,-0.75,-0.5,0.25
"1","243","val","ver",430.7,-0.75,-0.5,0.25
"1","244","val","ver",437.4,-0.75,-0.5,0.25
"1","253","val","ver",462.2,-0.75,-0.5,0.25
"1","255","val","ver",444.1,-0.75,-0.5,0.25
"1","256","val","ver",406,-0.75,-0.5,0.25
"1","257","val","ver",415.5,-0.75,-0.5,0.25
"1","262","val","ver",327.7,-0.75,-0.5,0.25
"1","265","val","ver",416,-0.75,-0.5,0.25
"1","269","val","ver",340.5,-0.75,-0.5,0.25
"1","274","val","ver",410,-0.75,-0.5,0.25
"1","275","val","ver",446,-0.75,-0.5,0.25
"1","281","val","ver",389.5,-0.75,-0.5,0.25
"1","287","val","ver",415.5,-0.75,-0.5,0.25
"1","288","val","ver",352,-0.75,-0.5,0.25
"1","294","val","ver",316.7,-0.75,-0.5,0.25
"1","297","val","ver",423.7,-0.75,-0.5,0.25
"1","308","val","ver",357.4,-0.75,-0.5,0.25
"1","309","val","ver",365.2,-0.75,-0.5,0.25
"1","316","val","ver",406.9,-0.75,-0.5,0.25
"1","319","val","ver",403.9,-0.75,-0.5,0.25
"1","325","val","ver",378.7,-0.75,-0.5,0.25
"1","329","val","ver",608.7,-0.75,-0.5,0.25
"1","331","val","ver",400.6,-0.75,-0.5,0.25
"1","333","val","ver",456.7,-0.75,-0.5,0.25
"1","336","val","ver",423.5,-0.75,-0.5,0.25
"1","340","val","ver",396.2,-0.75,-0.5,0.25
"1","345","val","ver",403.1,-0.75,-0.5,0.25
"1","347","val","ver",516.9,-0.75,-0.5,0.25
"1","350","val","ver",386.8,-0.75,-0.5,0.25
"1","353","val","ver",448.7,-0.75,-0.5,0.25
"1","354","val","ver",388,-0.75,-0.5,0.25
"1","355","val","ver",414.9,-0.75,-0.5,0.25
"1","361","val","ver",379,-0.75,-0.5,0.25
"1","375","val","ver",346.3,-0.75,-0.5,0.25
"1","377","val","ver",377.5,-0.75,-0.5,0.25
"1","380","val","ver",347.7,-0.75,-0.5,0.25
"1","384","val","ver",332.4,-0.75,-0.5,0.25
"1","387","val","ver",316.7,-0.75,-0.5,0.25
"1","389","val","ver",496.1,-0.75,-0.5,0.25
"1","400","val","ver",399.5,-0.75,-0.5,0.25
"1","402","val","ver",296,-0.75,-0.5,0.25
"1","404","val","ver",387.4,-0.75,-0.5,0.25
"1","407","val","ver",405.5,-0.75,-0.5,0.25
"1","408","val","ver",346.3,-0.75,-0.5,0.25
"1","412","val","ver",345.9,-0.75,-0.5,0.25
"1","415","val","ver",379.5,-0.75,-0.5,0.25
"1","416","val","ver",379.4,-0.75,-0.5,0.25
"1","417","val","ver",397.1,-0.75,-0.5,0.25
"1","419","val","ver",429.8,-0.75,-0.5,0.25
"1","420","val","ver",347.5,-0.75,-0.5,0.25
"1","425","val","ver",342.4,-0.75,-0.5,0.25
"1","426","val","ver",387.7,-0.75,-0.5,0.25
"1","430","val","ver",308.3,-0.75,-0.5,0.25
"1","439","val","ver",377.9,-0.75,-0.5,0.25
"1","441","val","ver",305.9,-0.75,-0.5,0.25
"1","443","val","ver",349.4,-0.75,-0.5,0.25
"1","445","val","ver",381.5,-0.75,-0.5,0.25
"1","448","val","ver",357.3,-0.75,-0.5,0.25
"1","452","val","ver",432.6,-0.75,-0.5,0.25
"1","455","val","ver",340.7,-0.75,-0.5,0.25
"1","459","val","ver",387,-0.75,-0.5,0.25
"1","467","val","ver",372,-0.75,-0.5,0.25
"1","474","val","ver",372.4,-0.75,-0.5,0.25
"1","475","val","ver",381.9,-0.75,-0.5,0.25
"1","484","val","ver",361.9,-0.75,-0.5,0.25
"1","498","val","ver",368,-0.75,-0.5,0.25
"1","504","val","ver",343.7,-0.75,-0.5,0.25
"1","511","val","ver",511,-0.75,-0.5,0.25
"1","512","val","ver",373.6,-0.75,-0.5,0.25
"1","515","val","ver",525,-0.75,-0.5,0.25
"1","521","val","ver",329.2,-0.75,-0.5,0.25
"1","527","val","ver",327.7,-0.75,-0.5,0.25
"1","533","val","ver",347,-0.75,-0.5,0.25
"1","536","val","ver",347.3,-0.75,-0.5,0.25
"1","538","val","ver",374.1,-0.75,-0.5,0.25
"1","541","val","ver",370.2,-0.75,-0.5,0.25
"1","543","val","ver",358.9,-0.75,-0.5,0.25
"1","545","val","ver",443.4,-0.75,-0.5,0.25
"1","548","val","ver",343.2,-0.75,-0.5,0.25
"1","549","val","ver",353,-0.75,-0.5,0.25
"1","550","val","ver",371.8,-0.75,-0.5,0.25
"1","559","val","ver",316.8,-0.75,-0.5,0.25
"1","561","val","ver",332,-0.75,-0.5,0.25
"1","563","val","ver",202.6,-0.75,-0.5,0.25
"1","565","val","ver",294.9,-0.75,-0.5,0.25
"1","566","val","ver",291.7,-0.75,-0.5,0.25
"1","577","val","ver",373.6,-0.75,-0.5,0.25
"1","578","val","ver",479.5,-0.75,-0.5,0.25
"1","580","val","ver",504.2,-0.75,-0.5,0.25
"1","581","val","ver",316.5,-0.75,-0.5,0.25
"1","586","val","ver",384.8,-0.75,-0.5,0.25
"1","591","val","ver",371.5,-0.75,-0.5,0.25
"1","592","val","ver",385.6,-0.75,-0.5,0.25
"1","593","val","ver",348.9,-0.75,-0.5,0.25
"1","596","val","ver",285.8,-0.75,-0.5,0.25
"1","600","val","ver",331,-0.75,-0.5,0.25
"1","602","val","ver",331.6,-0.75,-0.5,0.25
"2","39","dod","hor",511.9,0.25,0.5,-0.75
"2","52","dod","hor",463.6,0.25,0.5,-0.75
"2","89","dod","hor",429,0.25,0.5,-0.75
"2","103","dod","hor",449.8,0.25,0.5,-0.75
"2","104","dod","hor",470.3,0.25,0.5,-0.75
"2","120","dod","hor",417.9,0.25,0.5,-0.75
"2","161","dod","hor",411.8,0.25,0.5,-0.75
"2","194","dod","hor",459.6,0.25,0.5,-0.75
"2","248","dod","hor",419.5,0.25,0.5,-0.75
"2","270","dod","hor",556.9,0.25,0.5,-0.75
"2","277","dod","hor",410.7,0.25,0.5,-0.75
"2","289","dod","hor",599.8,0.25,0.5,-0.75
"2","299","dod","hor",445.6,0.25,0.5,-0.75
"2","304","dod","hor",495.2,0.25,0.5,-0.75
"2","320","dod","hor",545,0.25,0.5,-0.75
"2","378","dod","hor",436.5,0.25,0.5,-0.75
"2","479","dod","hor",437.4,0.25,0.5,-0.75
"2","494","dod","hor",468.8,0.25,0.5,-0.75
"2","503","dod","hor",389.9,0.25,0.5,-0.75
"2","508","dod","hor",499.3,0.25,0.5,-0.75
"2","542","dod","hor",322.8,0.25,0.5,-0.75
"2","554","dod","hor",150.1,0.25,0.5,-0.75
"2","587","dod","hor",376.3,0.25,0.5,-0.75
"2","590","dod","hor",353.1,0.25,0.5,-0.75
"2","4","dod","ver",500.8,0.25,0.5,-0.75
"2","40","dod","ver",424.6,0.25,0.5,-0.75
"2","79","dod","ver",501.8,0.25,0.5,-0.75
"2","116","dod","ver",365.4,0.25,0.5,-0.75
"2","164","dod","ver",567.5,0.25,0.5,-0.75
"2","167","dod","ver",347.9,0.25,0.5,-0.75
"2","169","dod","ver",392.6,0.25,0.5,-0.75
"2","177","dod","ver",522.5,0.25,0.5,-0.75
"2","209","dod","ver",430,0.25,0.5,-0.75
"2","247","dod","ver",508.7,0.25,0.5,-0.75
