"SUBJECT"	"PART"	"TRIAL"	"SCENE"	"Scene"	"GROUP"	"LIST"	"CUE"	"COLOR"	"HIT_GLMM"	"RT"	"SEARCH_INIT"	"SCAN"	"VERI"
2	2	69	31	"highlighter"	2	6	2	1	1	1241	233	208	800
2	2	70	9	"boot"	2	6	2	1	1	1294	352	179	763
2	2	71	43	"pail"	2	7	2	2	1	950	203	48	699
2	2	72	72	"trumpet"	2	7	2	2	1	2721	461	1318	942
2	2	73	28	"gnome"	2	7	2	2	1	1271	276	307	688
2	2	74	46	"parking meter"	2	7	2	2	1	1729	429	593	707
2	2	75	14	"bus"	2	7	2	2	1	1164	328	47	789
2	2	76	56	"screwdriver"	2	7	2	2	1	1357	373	55	929
2	2	77	39	"man"	2	7	2	2	1	1243	247	53	943
2	2	78	74	"washing up liquid"	2	7	2	2	1	1221	285	221	715
2	2	79	1	"angel"	2	7	2	2	1	1107	342	40	725
2	2	80	3	"basket"	2	7	2	2	1	3800	313	3130	357
3	1	1	80	"woman"	3	5	1	3	0	15000	350	43	14607
3	1	2	41	"mobilephone"	3	5	1	3	0	15000	392	2041	12567
3	1	3	55	"scissors"	3	5	1	3	1	2900	317	1350	1233
3	1	4	70	"trophy"	3	5	1	3	1	2564	31	1188	1345
3	1	5	45	"painting"	3	5	1	3	1	2543	438	541	1564
3	1	6	63	"sunglasses"	3	5	1	3	1	1757	346	45	1366
3	1	7	34	"lamp"	3	5	1	3	1	2379	233	592	1554
3	1	8	61	"spade"	3	5	1	3	1	2500	475	310	1715
3	1	9	15	"butterfly"	3	5	1	3	1	9993	476	8739	778
3	1	10	12	"brick"	3	5	1	3	1	2350	16	528	1806
3	1	11	4	"bell"	3	3	1	1	1	2863	360	995	1508
3	1	12	78	"wine bottle"	3	3	1	1	1	2211	261	309	1641
3	1	13	49	"pillow"	3	3	1	1	1	2004	29	606	1369
3	1	14	30	"hammer"	3	3	1	1	1	2063	448	218	1397
3	1	15	76	"watch"	3	3	1	1	1	2948	393	1209	1346
3	1	16	18	"clock"	3	3	1	1	1	1610	315	44	1251
3	1	17	17	"car"	3	3	1	1	1	2258	595	247	1416
3	1	18	29	"hair brush"	3	3	1	1	1	2580	72	607	1901
3	1	19	11	"boxing gloves"	3	3	1	1	1	2809	190	935	1684
3	1	20	33	"jug"	3	3	1	1	1	2530	296	768	1466
3	1	21	64	"teapot"	3	6	1	4	1	2957	60	1629	1268
3	1	22	31	"highlighter"	3	6	1	4	1	2994	440	833	1721
3	1	23	48	"pencil"	3	6	1	4	1	2799	259	1100	1440
3	1	24	71	"trousers"	3	6	1	4	1	6523	223	658	5642
3	1	25	9	"boot"	3	6	1	4	1	2207	222	660	1325
3	1	26	73	"vase"	3	6	1	4	1	2142	329	49	1764
3	1	27	22	"fire extinguisher"	3	6	1	4	1	1912	428	258	1226
3	1	28	6	"bin"	3	6	1	4	1	2985	228	1600	1157
3	1	29	23	"fire hydrant"	3	6	1	4	1	4933	433	277	4223
3	1	30	13	"broom"	3	6	1	4	1	2306	209	846	1251
3	1	31	65	"teddy bear"	3	4	1	2	1	2314	239	1064	1011
3	1	32	53	"pumpkin"	3	4	1	2	1	2100	248	380	1472
3	1	33	26	"fruit bowl"	3	4	1	2	1	3614	259	256	3099
3	1	34	57	"shampoo bottle"	3	4	1	2	1	3257	53	1337	1867
3	1	35	47	"pen"	3	4	1	2	1	2529	297	46	2186
3	1	36	54	"rooster"	3	4	1	2	1	3121	23	1792	1306
3	1	37	59	"slippers"	3	4	1	2	1	2043	367	243	1433
3	1	38	27	"globe"	3	4	1	2	1	1914	388	388	1138
3	1	39	68	"torch"	3	4	1	2	1	6900	296	1159	5445
3	1	40	37	"logs"	3	4	1	2	1	2143	255	529	1359
3	2	41	32	"jeep"	3	8	2	2	1	2814	317	992	1505
3	2	42	58	"shoes"	3	8	2	2	1	2221	338	720	1163
3	2	43	60	"soda can"	3	8	2	2	1	2086	219	484	1383
3	2	44	20	"dart board"	3	8	2	2	1	1429	218	42	1169
3	2	45	52	"potted plant"	3	8	2	2	1	1471	282	273	916
3	2	46	38	"magazine"	3	8	2	2	1	1550	319	43	1188
3	2	47	10	"bowl"	3	8	2	2	1	1950	312	382	1256
3	2	48	16	"cap"	3	8	2	2	1	1957	64	534	1359
3	2	49	77	"watering can"	3	8	2	2	0	2336	182	286	1868
3	2	50	19	"coffee mug"	3	8	2	2	1	1993	8	354	1631
3	2	51	24	"flowers"	3	1	2	3	1	5393	339	4303	751
3	2	52	69	"tractor"	3	1	2	3	1	2257	378	588	1291
3	2	53	5	"bench"	3	1	2	3	1	2014	271	676	1067
3	2	54	35	"license plate"	3	1	2	3	1	1979	341	231	1407
3	2	55	8	"book"	3	1	2	3	1	2143	325	860	958
3	2	56	42	"ovenmit"	3	1	2	3	1	1843	296	563	984
3	2	57	36	"lightbulb"	3	1	2	3	0	15000	358	3367	11275
3	2	58	7	"bongos"	3	1	2	3	1	2043	44	907	1092
3	2	59	79	"wine glass"	3	1	2	3	1	2264	312	930	1022
3	2	60	67	"tissue box"	3	1	2	3	1	1414	250	273	891
3	2	61	39	"man"	3	7	2	1	1	1935	232	44	1659
3	2	62	28	"gnome"	3	7	2	1	1	1833	197	188	1448
3	2	63	74	"washing up liquid"	3	7	2	1	1	2083	365	204	1514
3	2	64	1	"angel"	3	7	2	1	1	1434	221	37	1176
3	2	65	43	"pail"	3	7	2	1	1	1698	260	43	1395
3	2	66	14	"bus"	3	7	2	1	1	2075	194	1075	806
3	2	67	46	"parking meter"	3	7	2	1	1	1698	232	391	1075
3	2	68	72	"trumpet"	3	7	2	1	1	1959	239	788	932
3	2	69	56	"screwdriver"	3	7	2	1	1	1722	291	325	1106
3	2	70	3	"basket"	3	7	2	1	1	2128	265	707	1156
3	2	71	66	"television"	3	2	2	4	1	1942	338	43	1561
3	2	72	40	"mixer"	3	2	2	4	1	1841	421	280	1140
3	2	73	75	"waste basket"	3	2	2	4	1	2078	347	435	1296
3	2	74	44	"paintbrush"	3	2	2	4	1	1920	237	560	1123
3	2	75	25	"fork"	3	2	2	4	1	2402	320	323	1759
3	2	76	51	"pliers"	3	2	2	4	1	1498	203	46	1249
3	2	77	62	"stool"	3	2	2	4	1	2359	238	1385	736
3	2	78	21	"dog"	3	2	2	4	1	1465	201	43	1221
3	2	79	50	"pin board"	3	2	2	4	1	1761	306	47	1408
3	2	80	2	"apple"	3	2	2	4	1	2423	364	1090	969
4	1	1	28	"gnome"	4	7	1	4	1	1574	215	539	820
4	1	2	72	"trumpet"	4	7	1	4	1	2010	273	808	929
4	1	3	14	"bus"	4	7	1	4	1	1186	281	531	374
4	1	4	56	"screwdriver"	4	7	1	4	1	1260	306	486	468
4	1	5	39	"man"	4	7	1	4	1	867	255	275	337
4	1	6	43	"pail"	4	7	1	4	1	1462	226	837	399
4	1	7	3	"basket"	4	7	1	4	1	2180	262	1254	664
4	1	8	46	"parking meter"	4	7	1	4	1	1356	232	449	675
4	1	9	1	"angel"	4	7	1	4	1	1244	281	261	702
4	1	10	74	"washing up liquid"	4	7	1	4	1	1700	230	895	575
4	1	11	68	"torch"	4	4	1	1	0	7842	361	NA	NA
4	1	12	65	"teddy bear"	4	4	1	1	1	1392	292	608	492
4	1	13	54	"rooster"	4	4	1	1	1	3407	299	2519	589
4	1	14	59	"slippers"	4	4	1	1	1	1117	329	206	582
4	1	15	27	"globe"	4	4	1	1	1	2516	362	1498	656
4	1	16	37	"logs"	4	4	1	1	1	1230	198	420	612
4	1	17	47	"pen"	4	4	1	1	1	1479	276	760	443
4	1	18	53	"pumpkin"	4	4	1	1	1	842	218	242	382
4	1	19	26	"fruit bowl"	4	4	1	1	1	1386	214	692	480
4	1	20	57	"shampoo bottle"	4	4	1	1	1	1551	320	443	788
4	1	21	22	"fire extinguisher"	4	6	1	3	1	2650	66	2028	556
4	1	22	31	"highlighter"	4	6	1	3	1	1279	249	578	452
4	1	23	73	"vase"	4	6	1	3	0	1236	238	40	958
4	1	24	48	"pencil"	4	6	1	3	1	1979	195	1344	440
4	1	25	6	"bin"	4	6	1	3	1	2236	223	1313	700
4	1	26	9	"boot"	4	6	1	3	1	2600	248	1865	487
4	1	27	64	"teapot"	4	6	1	3	1	10050	254	5842	3954
4	1	28	23	"fire hydrant"	4	6	1	3	1	1014	319	264	431
4	1	29	13	"broom"	4	6	1	3	1	3600	213	2484	903
4	1	30	71	"trousers"	4	6	1	3	1	1186	261	301	624
4	1	31	41	"mobilephone"	4	5	1	2	1	1500	222	705	573
4	1	32	55	"scissors"	4	5	1	2	1	1914	156	848	910
4	1	33	70	"trophy"	4	5	1	2	1	1064	272	198	594
4	1	34	63	"sunglasses"	4	5	1	2	0	1111	273	400	438
4	1	35	15	"butterfly"	4	5	1	2	1	6371	351	5467	553
4	1	36	34	"lamp"	4	5	1	2	1	1221	241	555	425
4	1	37	61	"spade"	4	5	1	2	1	1679	289	44	1346
4	1	38	12	"brick"	4	5	1	2	1	1171	236	172	763
4	1	39	80	"woman"	4	5	1	2	1	907	301	44	562
4	1	40	45	"painting"	4	5	1	2	1	1514	207	650	657
4	2	41	75	"waste basket"	4	2	2	3	1	879	226	311	342
4	2	42	62	"stool"	4	2	2	3	1	1229	202	608	419
4	2	43	66	"television"	4	2	2	3	1	1100	266	206	628
4	2	44	51	"pliers"	4	2	2	3	1	1307	201	766	340
4	2	45	2	"apple"	4	2	2	3	1	5129	206	4267	656
4	2	46	44	"paintbrush"	4	2	2	3	1	1129	186	392	551
4	2	47	40	"mixer"	4	2	2	3	1	729	145	217	367
4	2	48	21	"dog"	4	2	2	3	1	1007	181	377	449
4	2	49	50	"pin board"	4	2	2	3	1	743	196	174	373
4	2	50	25	"fork"	4	2	2	3	1	1129	166	485	478
4	2	51	4	"bell"	4	3	2	4	1	2601	128	476	1997
4	2	52	49	"pillow"	4	3	2	4	1	1542	176	738	628
4	2	53	11	"boxing gloves"	4	3	2	4	1	1337	214	42	1081
4	2	54	18	"clock"	4	3	2	4	1	489	136	46	307
4	2	55	29	"hair brush"	4	3	2	4	1	717	153	291	273
4	2	56	76	"watch"	4	3	2	4	1	1134	196	522	416
4	2	57	17	"car"	4	3	2	4	1	1354	176	534	644
4	2	58	33	"jug"	4	3	2	4	1	775	154	202	419
4	2	59	78	"wine bottle"	4	3	2	4	1	2939	202	747	1990
4	2	60	30	"hammer"	4	3	2	4	1	821	317	206	298
4	2	61	32	"jeep"	4	8	2	1	1	2138	316	1040	782
4	2	62	10	"bowl"	4	8	2	1	1	1583	206	989	388
4	2	63	52	"potted plant"	4	8	2	1	1	918	56	387	475
4	2	64	38	"magazine"	4	8	2	1	1	647	174	185	288
4	2	65	77	"watering can"	4	8	2	1	1	1221	275	528	418
4	2	66	58	"shoes"	4	8	2	1	1	3732	160	3092	480
4	2	67	20	"dart board"	4	8	2	1	1	679	213	221	245
4	2	68	60	"soda can"	4	8	2	1	1	761	266	206	289
4	2	69	16	"cap"	4	8	2	1	1	906	193	359	354
4	2	70	19	"coffee mug"	4	8	2	1	1	523	187	46	290
4	2	71	36	"lightbulb"	4	1	2	2	1	2571	139	1911	521
4	2	72	35	"license plate"	4	1	2	2	1	729	120	342	267
4	2	73	42	"ovenmit"	4	1	2	2	1	564	211	144	209
4	2	74	24	"flowers"	4	1	2	2	1	943	220	173	550
4	2	75	67	"tissue box"	4	1	2	2	1	757	239	247	271
4	2	76	69	"tractor"	4	1	2	2	1	1629	161	416	1052
4	2	77	8	"book"	4	1	2	2	1	750	24	426	300
4	2	78	5	"bench"	4	1	2	2	1	921	194	485	242
4	2	79	79	"wine glass"	4	1	2	2	1	679	289	42	348
4	2	80	7	"bongos"	4	1	2	2	1	614	279	46	289
5	1	1	34	"lamp"	5	5	1	1	1	808	315	221	272
5	1	2	41	"mobilephone"	5	5	1	1	1	2307	429	1343	535
5	1	3	12	"brick"	5	5	1	1	1	954	571	55	328
5	1	4	45	"painting"	5	5	1	1	1	1273	400	628	245
5	1	5	63	"sunglasses"	5	5	1	1	1	735	424	218	93
5	1	6	15	"butterfly"	5	5	1	1	1	1989	246	1705	38
5	1	7	80	"woman"	5	5	1	1	1	1197	347	456	394
5	1	8	61	"spade"	5	5	1	1	1	1010	280	261	469
5	1	9	55	"scissors"	5	5	1	1	1	1608	273	808	527
5	1	10	70	"trophy"	5	5	1	1	1	1921	476	920	525
5	1	11	6	"bin"	5	6	1	2	1	1386	276	637	473
5	1	12	64	"teapot"	5	6	1	2	0	1531	303	NA	NA
5	1	13	48	"pencil"	5	6	1	2	1	2321	236	1542	543
5	1	14	13	"broom"	5	6	1	2	1	1336	528	285	523
5	1	15	9	"boot"	5	6	1	2	0	2029	422	1141	466
5	1	16	23	"fire hydrant"	5	6	1	2	1	1650	535	428	687
5	1	17	31	"highlighter"	5	6	1	2	1	5607	275	214	5118
5	1	18	22	"fire extinguisher"	5	6	1	2	1	1286	486	662	138
5	1	19	71	"trousers"	5	6	1	2	1	1679	653	353	673
5	1	20	73	"vase"	5	6	1	2	1	871	258	50	563
5	1	21	46	"parking meter"	5	7	1	3	1	1157	255	353	549
5	1	22	74	"washing up liquid"	5	7	1	3	1	1700	387	918	395
5	1	23	39	"man"	5	7	1	3	1	1321	426	289	606
5	1	24	28	"gnome"	5	7	1	3	1	1164	312	406	446
5	1	25	1	"angel"	5	7	1	3	1	993	364	47	582
5	1	26	14	"bus"	5	7	1	3	1	2200	320	1139	741
5	1	27	56	"screwdriver"	5	7	1	3	1	1371	227	581	563
5	1	28	3	"basket"	5	7	1	3	1	1771	370	598	803
5	1	29	43	"pail"	5	7	1	3	1	1729	256	986	487
5	1	30	72	"trumpet"	5	7	1	3	1	1157	458	49	650
5	1	31	52	"potted plant"	5	8	1	4	1	2314	255	1091	968
5	1	32	10	"bowl"	5	8	1	4	1	1441	511	285	645
5	1	33	20	"dart board"	5	8	1	4	1	810	333	233	244
5	1	34	38	"magazine"	5	8	1	4	1	1028	505	235	288
5	1	35	19	"coffee mug"	5	8	1	4	1	1029	375	463	191
5	1	36	16	"cap"	5	8	1	4	1	1232	321	278	633
5	1	37	77	"watering can"	5	8	1	4	1	704	341	50	313
5	1	38	58	"shoes"	5	8	1	4	1	1545	302	676	567
5	1	39	60	"soda can"	5	8	1	4	1	1578	347	868	363
5	1	40	32	"jeep"	5	8	1	4	1	2097	502	1032	563
5	2	41	67	"tissue box"	5	1	2	1	1	1114	264	315	535
5	2	42	42	"ovenmit"	5	1	2	1	1	991	386	262	343
5	2	43	8	"book"	5	1	2	1	1	1090	279	307	504
5	2	44	79	"wine glass"	5	1	2	1	1	1159	262	599	298
5	2	45	24	"flowers"	5	1	2	1	1	837	365	33	439
5	2	46	69	"tractor"	5	1	2	1	1	1415	240	616	559
5	2	47	36	"lightbulb"	5	1	2	1	1	2684	257	2090	337
5	2	48	7	"bongos"	5	1	2	1	0	1491	279	564	648
5	2	49	5	"bench"	5	1	2	1	0	1955	281	642	1032
5	2	50	35	"license plate"	5	1	2	1	1	1620	304	580	736
5	2	51	2	"apple"	5	2	2	2	1	1536	266	825	445
5	2	52	50	"pin board"	5	2	2	2	1	743	380	45	318
5	2	53	25	"fork"	5	2	2	2	1	857	295	456	106
5	2	54	75	"waste basket"	5	2	2	2	0	729	383	NA	NA
5	2	55	21	"dog"	5	2	2	2	1	664	293	196	175
5	2	56	51	"pliers"	5	2	2	2	1	900	273	49	578
5	2	57	40	"mixer"	5	2	2	2	1	679	293	164	222
5	2	58	66	"television"	5	2	2	2	1	936	288	56	592
5	2	59	62	"stool"	5	2	2	2	1	1007	406	455	146
5	2	60	44	"paintbrush"	5	2	2	2	1	1421	273	684	464
5	2	61	53	"pumpkin"	5	4	2	4	1	2868	301	1762	805
5	2	62	59	"slippers"	5	4	2	4	1	1228	452	311	465
5	2	63	54	"rooster"	5	4	2	4	1	3870	311	2984	575
5	2	64	57	"shampoo bottle"	5	4	2	4	1	1014	245	269	500
5	2	65	65	"teddy bear"	5	4	2	4	1	1071	281	447	343
5	2	66	68	"torch"	5	4	2	4	1	1658	388	944	326
5	2	67	37	"logs"	5	4	2	4	1	791	308	50	433
5	2	68	26	"fruit bowl"	5	4	2	4	1	992	217	208	567
5	2	69	47	"pen"	5	4	2	4	1	1372	339	57	976
5	2	70	27	"globe"	5	4	2	4	0	1307	452	432	423
5	2	71	18	"clock"	5	3	2	3	1	1157	298	467	392
5	2	72	30	"hammer"	5	3	2	3	1	643	399	51	193
5	2	73	17	"car"	5	3	2	3	1	993	296	506	191
5	2	74	76	"watch"	5	3	2	3	1	1107	296	471	340
5	2	75	4	"bell"	5	3	2	3	1	1186	248	702	236
5	2	76	11	"boxing gloves"	5	3	2	3	1	2114	297	1297	520
5	2	77	78	"wine bottle"	5	3	2	3	1	1671	413	1001	257
5	2	78	33	"jug"	5	3	2	3	1	900	309	274	317
5	2	79	29	"hair brush"	5	3	2	3	1	714	255	234	225
5	2	80	49	"pillow"	5	3	2	3	1	1736	239	1090	407
6	1	1	38	"magazine"	6	8	1	3	1	1150	450	316	384
6	1	2	20	"dart board"	6	8	1	3	1	786	463	47	276
6	1	3	58	"shoes"	6	8	1	3	1	3193	350	2301	542
6	1	4	10	"bowl"	6	8	1	3	1	1471	372	455	644
6	1	5	16	"cap"	6	8	1	3	1	1271	349	635	287
6	1	6	60	"soda can"	6	8	1	3	1	3821	343	2928	550
6	1	7	77	"watering can"	6	8	1	3	1	1707	273	1200	234
6	1	8	19	"coffee mug"	6	8	1	3	1	750	416	242	92
6	1	9	32	"jeep"	6	8	1	3	1	2400	447	969	984
6	1	10	52	"potted plant"	6	8	1	3	1	2707	528	1278	901
6	1	11	24	"flowers"	6	1	1	4	0	2166	683	NA	NA
