ISO,continent,latitude,ecozone,Country,fertility.1995,log_gdp.1995,fertility.1965,log_gdp.1965,fertility.1980,log_gdp.1980,fertility.2000,log_gdp.2000,fertility.2005,log_gdp.2005,fertility.1975,log_gdp.1975,fertility.1970,log_gdp.1970,fertility.1985,log_gdp.1985,fertility.1990,log_gdp.1990,fertility.1960,log_gdp.1960
HRV,EUROPE,45,Palearctic,Croatia,1.54,8.301025254,NA,NA,NA,NA,1.35,8.31605572,1.35,9.053101596,NA,NA,NA,NA,NA,NA,1.52,8.609954671,NA,NA
IDN,ASIA,-5,Indo-Malaya,Indonesia,2.55,6.931471806,NA,NA,4.11,6.246106765,2.38,6.65929392,2.18,7.145984468,4.73,5.468060141,5.3,4.382026635,3.4,6.257667588,2.9,6.439350371,NA,NA
IND,ASIA,20,Indo-Malaya,India,3.46,5.92157842,5.61,4.779123493,4.5,5.587248658,3.11,6.086774727,2.81,6.56526497,4.89,5.062595033,5.26,4.709530201,4.15,5.697093487,3.87,5.910796644,5.82,4.406719247
IRN,ASIA,32,Palearctic,"Iran, Islamic Rep",2.53,7.286191715,6.8,5.509388337,6.63,7.73587032,2.12,7.33432935,2.04,7.925157512,6.5,7.291656209,6.4,5.908082938,5.62,8.167635715,4.33,7.624130586,NA,NA
ISL,EUROPE,65,Palearctic,Iceland,2.06,10.17675371,3.15,7.911324019,2.25,9.589529949,1.99,10.33773446,2.05,10.91133598,2.29,8.757469141,2.84,7.841099765,2.12,9.40910926,2.19,10.12631105,3.94,7.252762418
ITA,EUROPE,42.83,Palearctic,Italy,1.21,9.885883507,2.49,7.173191742,1.53,9.005527777,1.29,9.853298911,1.38,10.31483532,1.89,8.283241441,2.33,7.615791072,1.35,8.948845729,1.28,9.902637191,2.5,6.689599269
JPN,ASIA,36,Palearctic,Japan,1.39,10.64120171,2,6.82437367,1.76,9.108750516,1.29,10.51167579,1.27,10.47922975,1.81,8.403800504,2.07,7.573017256,1.66,9.318835968,1.49,10.10364903,2.02,6.154858094
KOR,ASIA,37,Palearctic,"Korea, Rep",1.51,9.349145335,4.71,4.663439094,2.23,7.422971251,1.24,9.299998244,1.21,9.713113663,2.92,6.410174882,4.28,5.631211782,1.6,7.769800996,1.7,8.724695047,5.63,5.049856007
KWT,ASIA,29.34,Palearctic,Kuwait,2.61,9.665420701,7.41,8.401333305,4.87,9.944053514,2.3,9.736783407,2.18,10.30624901,5.89,9.387565631,6.9,8.258940463,3.94,9.431000843,3.2,9.059401196,NA,NA
LBN,ASIA,33.83,Palearctic,Lebanon,2.7,8.118802997,NA,NA,NA,NA,2.32,8.402904045,2.21,8.587838031,NA,NA,NA,NA,NA,NA,3,6.860663671,NA,NA
MAR,AFRICA,32,Palearctic,Morocco,2.97,7.109879463,7.09,5.398162702,5.4,6.869014451,2.52,7.159291905,2.38,7.566828479,5.9,6.251903883,6.89,5.552959585,4.45,6.357842267,3.66,6.947937069,7.15,5.164785974
MEX,AMERICA,23,Nearctic,Mexico,2.67,8.046229101,6.75,6.198478716,4.25,7.938802248,2.4,8.670772279,2.21,8.904222737,5.25,7.279318835,6.5,6.52649486,3.63,7.783640596,3.19,8.047829357,6.75,5.843544417
MLT,EUROPE,35.83,Palearctic,Malta,1.85,9.058004711,2.17,6.182084907,1.96,8.161375023,1.46,9.210940192,1.37,9.593082593,2.02,7.25629724,2.07,6.621405652,2.02,7.992606652,2.02,8.767796256,3.1,6.068425588
MYS,ASIA,2.5,Indo-Malaya,Malaysia,3.1,8.369620827,5.94,5.814130532,4.24,7.502186487,2.87,8.263848131,2.6,8.580918882,4.16,6.693323668,5.15,5.976350909,4,7.614312146,3.47,7.796469243,6.72,5.703782475
NGA,AFRICA,10,Afrotropic,Nigeria,6.25,5.552959585,6.9,4.812184355,6.9,6.805722553,5.85,5.910796644,5.32,6.546785411,6.9,6.118097198,6.9,5.451038454,6.83,5.85220248,6.64,5.707110265,6.9,4.59511985
NZL,OCEANIA,-41,Oceania,New Zealand,1.95,9.722205455,3.35,7.697575347,1.96,8.908018323,1.96,9.522739447,1.99,10.19574663,2.18,8.399984991,2.84,7.756623335,2.05,8.86517042,2.06,9.462654301,4.02,7.769800996
PER,AMERICA,-10,Neotropic,Peru,3.1,7.718685495,6.56,6.08221891,4.65,7.084226422,2.7,7.638679824,2.51,7.97590836,5.38,6.987490247,6,6.306275287,4.1,6.872128101,3.7,7.096721378,6.85,5.529429088
PHL,ASIA,13,Indo-Malaya,Philippines,3.73,6.985641818,6.5,5.247024072,4.95,6.514712691,3.54,6.903747258,3.23,7.062191632,5.5,5.869296913,6,5.209486153,4.55,6.338594078,4.14,6.584791392,6.85,5.549076085
POL,EUROPE,52,Palearctic,Poland,1.48,8.189799619,NA,NA,NA,NA,1.25,8.402455514,1.23,8.979290649,NA,NA,NA,NA,2.15,7.554334824,1.89,7.344072851,NA,NA
PRI,AMERICA,18.25,Neotropic,Puerto Rico,1.99,9.353487881,3.41,7.017506143,2.46,8.415381925,1.84,9.67545708,NA,NA,2.76,7.933796875,2.99,7.525100746,2.26,8.700514249,2.18,9.068200605,4.37,6.575075841
PRT,EUROPE,39.5,Palearctic,Portugal,1.48,9.329189506,2.85,6.255750042,1.98,8.077447149,1.45,9.307013259,1.46,9.775199532,2.41,7.618251098,2.75,6.794586581,1.59,7.859413155,1.52,8.927977461,3.07,5.886104031
RUS,EUROPE,60,Palearctic,Russian Federation,1.25,7.883069351,NA,NA,NA,NA,1.3,7.474204806,1.34,8.57753542,NA,NA,NA,NA,NA,NA,1.55,8.154212695,NA,NA
SRB,EUROPE,44,Palearctic,Serbia,NA,NA,NA,NA,NA,NA,1.75,6.785587645,1.79,7.886081402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,EUROPE,48.67,Palearctic,Slovakia,1.4,8.209308412,NA,NA,NA,NA,1.22,8.238008249,1.25,9.082847851,NA,NA,NA,NA,2.15,7.87359779,1.87,7.988203597,NA,NA
SVN,EUROPE,46,Palearctic,Slovenia,1.25,9.242807562,NA,NA,NA,NA,1.23,9.18338019,1.28,9.751792189,NA,NA,NA,NA,NA,NA,1.36,9.107199613,NA,NA
THA,ASIA,15,Indo-Malaya,Thailand,1.9,7.978996371,5.9,4.912654886,2.85,6.538139824,1.83,7.612336837,1.85,7.936302693,3.76,5.866468057,4.96,5.247024072,2.27,6.639875834,2,7.360103973,6.39,4.605170186
TUR,EUROPE,39,Palearctic,Turkey,2.57,7.902857191,NA,NA,4.15,7.252762418,2.23,7.983098941,2.14,8.51318517,4.72,7.355001921,5.3,6.29710932,3.28,7.165493475,2.9,7.873217055,NA,NA
UGA,AFRICA,1,Afrotropic,Uganda,6.95,5.602118821,7.12,4.700480366,7.1,4.584967479,6.75,5.480638923,6.46,5.710427017,7.1,5.379897354,7.1,4.890349128,7.1,5.472270674,7.06,5.484796933,7.05,4.127134385
USA,AMERICA,38,Nearctic,United States,1.99,10.2098319,2.55,8.180600948,1.83,9.391911647,2.04,10.44231737,2.05,10.62977933,1.79,8.905986765,2.02,8.492490579,1.92,9.754291246,2.03,10.0203813,3.31,7.935945103
