"id","home","spectrum","followup","prohunt"
"PSV","urban",0,"Y",2.96
"PTX","country",39,"Y",4.6
"PUY","suburban",-14,"Y",4.74
"PVZ","suburban",-19,"Y",4.3
"QRW","suburban",6,"Y",3.93
"QRX","country",14,"Y",4.06
"QSZ","urban",-25,"Y",3.44
"QTW","country",-27,"Y",3.8
"QVW","urban",0,"Y",4.51
"QYZ","urban",21,"Y",2.37
"RSV","urban",-23,"Y",2.23
"RSW","country",-18,"Y",4.41
"RUW","country",41,"Y",4.44
"RUY","urban",19,"Y",4.12
"RUZ","suburban",-41,"Y",2.43
"RVW","urban",-2,"Y",4.15
"RWX","suburban",-29,"Y",3.11
"STZ","urban",25,"Y",4.1
"SYZ","urban",-32,"Y",3.19
"TUV","suburban",-10,"Y",3.92
"TWY","urban",16,"Y",3.3
"WYZ","urban",-6,"Y",4.32
